protein1	protein2
301	9757
23324	339302
7321	8548
10360	26155
89	3488
3460	6440
5175	166793
8220	55216
1018	7469
602	2957
545	51161
5362	8000
3104	80321
10900	51053
4802	6883
3074	197131
5988	10738
10615	257236
4246	286410
3846	5211
10524	29903
6583	8834
57552	80763
11336	28952
4645	7134
1337	9167
2993	55027
29978	56893
7532	117178
9553	55168
2874	85293
4000	51522
79867	116150
973	158866
23438	57085
65094	140564
51643	57003
8013	84970
2122	7136
4697	55240
8872	57473
7322	79594
4323	79807
23476	55959
2314	10534
4089	79753
6642	200232
56141	346689
2324	79669
2697	6812
7532	9743
11234	347862
9987	55602
4771	8662
6885	84818
23729	347862
137196	388677
5449	115265
166	3188
7051	10437
2054	9342
3512	81609
79675	345757
10133	10524
5578	9744
126069	386675
6888	7013
207	2026
7572	10963
3208	8028
51588	54033
27132	51250
29997	64969
154	226
3690	5321
1175	90416
1437	11278
92344	136263
9785	55671
1493	63899
84449	84676
6428	124245
8428	55096
4093	64374
9702	125115
55329	84102
5581	79109
7486	23313
1917	85508
10138	63035
84270	139322
1132	2175
2064	25818
5295	23230
825	440738
7965	406885
5887	10483
3739	8427
83548	128553
551	11101
6045	6500
285	3688
5092	6928
3885	79724
10484	51729
22981	171484
1857	56001
2353	339965
5604	83737
2259	23542
284111	440021
7138	9172
406	84217
369	11083
54902	83546
3188	406982
1616	4221
3713	6794
59353	199953
5318	84868
5528	150353
6911	284325
51282	80345
3106	9218
26353	30837
5500	55161
2911	7015
1044	440519
134391	200232
2571	6788
2302	5991
2033	3020
5356	55702
2703	56850
7903	79937
54930	114327
6310	9444
6183	11161
9274	11344
462	686
1456	375519
1639	8625
6235	10289
6165	51097
1610	3043
11059	406980
580	148581
10079	78987
6627	6927
7332	23624
25837	64718
2850	81573
3921	7675
10921	65980
9015	10360
9989	10928
26747	54331
5218	80237
23361	57594
23043	26035
6737	440738
10549	388323
10244	200576
7852	10445
433	3309
5565	22936
4915	64802
1739	10928
6293	79632
6223	9641
10302	10362
9880	80705
120939	149111
2866	3684
655	6901
83719	92181
1512	388389
4543	11113
4701	4723
55275	83540
88	2904
84914	390212
3728	6908
9908	406889
828	347733
10524	339448
3065	54815
51466	55660
10658	406952
567	22880
6165	10269
65244	339005
3008	4343
10320	51185
3181	5141
6928	284346
4763	85360
11007	55885
10524	29887
10319	57161
3691	4617
3077	79937
1154	1417
7189	7398
9924	56905
6535	65010
1054	22809
55299	55646
132720	256471
5929	9070
1671	54557
9146	337973
55758	123722
92565	137886
663	3831
8828	27163
3861	6386
8260	386680
25942	57215
3034	64395
51550	192666
9904	54502
356	8601
6194	6209
6997	55183
6749	57132
896	4830
6143	84811
6625	58506
5966	79090
142	8345
7564	25873
1978	4597
5500	8725
10140	25904
5412	9338
7083	10242
10471	80349
1457	7737
3192	8945
7321	64326
55111	147339
699	91283
11077	114928
4440	406885
4193	7321
10743	54790
7290	9532
9374	10090
5706	5718
23513	55147
6426	10250
3494	22938
8601	386675
10383	153918
5283	64170
28620	55791
55857	89885
5976	406905
1432	9261
54998	55037
2253	134430
6015	11335
79269	80208
5436	58506
168374	494119
4283	388512
3014	139422
43	8292
5571	386682
892	59348
51619	54476
5092	7571
3050	51079
152573	163033
2706	203562
2926	4135
27339	55696
54503	64109
653123	728411
10360	25871
23392	55244
815	23543
2743	168433
5825	57326
64782	653121
5500	25793
10294	10775
351	55915
2202	3866
10260	57530
9818	65999
23780	57786
7248	84914
4259	26020
29911	143884
25764	84528
1874	51270
2782	25926
6202	90480
22978	132158
54487	400506
51750	84464
84856	126133
23065	728378
10239	26985
49854	57622
3329	126789
4204	55845
4800	148362
1406	3886
5966	51700
3881	79794
1874	7029
9463	253558
9064	730211
6477	6774
973	8794
11345	55626
4193	5710
1869	8454
2905	5187
164	339010
7319	146225
56851	147199
6128	139422
2	56729
85027	132228
57563	58189
11318	201158
5290	10049
7726	90933
483	22976
10342	122183
2782	4168
3713	79981
23032	254531
55631	246175
6277	51622
11178	116225
2275	9852
8148	406989
6605	51188
3956	7369
51806	348980
3887	23532
8541	29079
9146	84970
146664	389072
10512	55131
11243	50813
2840	29781
867	5295
4670	406885
6293	79874
2074	8668
602	2534
1192	3106
3308	11281
329	8175
7080	10499
4502	5347
55661	83740
4745	23363
55629	167227
2738	27153
8233	90324
9958	10464
79174	84061
2022	3958
5347	6256
1477	6628
1956	9253
2534	5159
26589	79648
1759	10456
8290	9730
83988	200232
2261	5720
23474	55017
662	22954
3973	5045
1762	7529
4790	7518
6541	120224
6208	11103
9117	10363
2260	3459
83899	386674
4137	64841
3309	28663
337880	353131
358	353131
287	11345
4188	55885
5706	5719
23608	222166
154064	286451
5782	22853
11343	345274
56895	653437
5928	8366
23327	54602
57159	448834
64151	80199
23199	29775
114822	155465
10063	84056
3189	406948
334	3726
9470	146664
26037	344558
351	1032
1740	4842
4773	6880
10865	115106
8517	10776
55608	91039
154	93974
7186	10454
6147	64949
220	100533106
5152	55503
30008	84105
3485	83444
4670	406905
3326	4798
7266	54832
4004	158297
9013	9361
3306	3311
1039	30850
25886	57511
11130	25936
1912	113730
8848	283093
22984	26155
27185	64927
5706	7466
5155	64965
6741	23390
6430	57396
5042	9329
9532	10982
80218	254187
7135	7170
29896	60488
4916	387263
3799	9520
1945	91949
1240	653519
969	10682
5595	114932
4093	79230
7329	11060
302	800
7189	56957
4222	54971
8227	10241
146705	386683
29946	57161
26512	55212
6275	115106
3425	4250
9217	91452
3315	125113
9318	10307
4839	6132
5873	201294
1471	4012
2258	10412
56928	81671
6839	84445
7329	8359
54620	80258
5599	389384
7415	84993
51023	341567
9452	408263
757	9437
1415	1420
79089	221981
60506	133418
6468	10575
54520	84643
871	5708
3329	51647
2264	8463
29967	84000
4171	6119
7805	11059
1659	79576
330	7316
3981	5478
1317	55247
10519	23005
3763	6455
4582	114569
64324	388551
58986	388633
5058	84727
9091	81544
4750	79669
23294	27033
8794	28973
468	55763
4674	4675
10552	64151
22976	26256
389	9641
4108	9693
2222	4000
9107	51239
79727	406916
55198	116362
202052	374308
2669	125115
5521	26056
1030	94015
6293	25828
3183	84256
83873	100507537
657	219931
81850	114971
5931	8355
6421	11193
2512	79187
6660	9500
1815	2596
55284	90316
5036	51014
5376	116211
5976	406979
4543	9320
60561	285753
2054	6047
4849	27327
506	6606
6613	117159
3823	93183
998	11135
6585	9457
23371	57786
2969	5450
4691	6168
6625	23524
5204	347688
58477	65992
7536	11338
22884	23241
9802	112942
2132	338328
2202	7589
83755	149018
63922	152789
410	30819
3198	10482
2074	28998
9260	51399
3189	406929
337972	400258
7982	127544
25844	152519
197	998
7316	22909
8777	154810
51324	79720
746	129401
7536	10656
240	2885
9070	23184
819	5479
7189	55611
53358	79068
421	54910
2192	10971
587	8682
8473	23378
1437	6258
5631	51647
84266	255809
8148	407043
57088	80778
80144	388555
3043	3312
28952	63894
6605	57492
1454	7132
7779	9077
5530	10152
2475	84335
6299	7329
5252	27309
4077	84940
1398	56955
8503	151056
7508	27350
9550	55827
10642	406884
90187	220001
6161	9020
5013	23582
7518	140735
6926	729233
983	28984
1196	11129
83755	353141
2064	55914
130074	220004
54785	386680
8295	56970
4801	84330
5211	9208
4149	23186
7056	255043
2275	29974
578	11214
120939	222662
4253	23456
3996	4628
3728	5521
10645	27145
1409	4798
84816	112476
57505	83596
8674	84290
4088	93649
6613	10318
11014	55717
2874	3198
3249	9510
27243	51510
1495	4544
4854	65989
10576	89891
821	6483
999	54187
3714	114990
2475	6502
4697	4716
79796	388633
2551	3500
81853	167410
64838	221035
5277	23765
10099	10228
11133	220001
1021	6426
6208	7205
80321	135293
554	10560
7726	253461
6949	55799
363	4012
5427	135398
116442	128821
7122	11161
321	4036
6181	84294
54535	81565
57448	81631
2263	84707
79161	353142
8548	113878
2705	7104
6774	60491
51072	81851
10241	57506
1146	3846
60	3014
23397	493861
2261	84988
5159	55635
6633	8345
57679	84938
84868	84876
7334	26001
28996	51701
7791	51317
1843	7314
5295	254122
3551	57805
1122	25837
23560	25873
7965	406901
1647	163183
11077	139324
23484	55833
1459	64061
1636	51108
2801	90410
93487	337972
408	2782
3008	23131
166	139212
125988	165100
29986	84314
4137	64714
5347	133619
8636	55588
83897	84648
9982	134430
7450	554313
6137	64949
57406	113178
4869	6203
6193	6838
2671	54849
3188	406949
22938	55775
8795	54918
10693	254950
4193	23633
9841	23126
23438	54704
3163	27131
53826	115416
86	9643
10479	285613
11112	246243
8533	51274
2304	5966
23132	54936
6628	96764
3359	9725
10605	400961
4147	55295
8161	57563
2181	5047
54923	400258
51224	79896
7532	26058
4085	79834
5571	112770
10419	26097
26985	84699
5098	5793
3306	221150
200734	340542
55791	122183
5268	55175
10174	147339
8626	221937
92154	653269
9611	22938
5685	6310
7852	8189
1153	202559
22933	64112
25	7275
5810	5883
11316	57410
2332	23321
2099	8805
7187	85358
5653	10392
821	913
5688	51371
9183	80777
23229	55138
320	3219
5818	81607
3163	116151
90594	388677
6938	80022
3822	29967
2275	440295
3866	9587
331	55093
9958	653499
6286	116412
351	92935
4311	10948
54967	94081
995	85360
10783	93166
55845	81565
5553	57190
5013	130951
4839	333932
1736	6139
2495	8710
823	4713
51239	57542
1460	9575
3655	79908
8683	8996
445	56934
3823	11342
54432	84641
7321	56658
6749	8344
8417	79608
8625	10716
8473	10262
667	10921
51271	79720
1022	7067
1917	6165
29896	407007
362	388677
9698	407051
996	28956
57606	151246
6732	10602
55027	404217
3021	9555
10318	337967
23435	83899
4017	8491
2261	25840
24149	25841
8886	25873
9146	23201
9139	51101
187	51194
4931	6141
8440	55845
59344	119392
23281	149371
8496	153579
6457	7431
26092	84938
8553	55603
25959	339834
123722	170082
3800	25776
5987	84985
9107	11130
1296	7809
10382	23231
4214	60685
892	79088
4100	4115
6789	26524
1824	5318
27005	27332
55048	284427
5515	78994
9553	124995
9188	317781
26206	26297
9093	9278
2064	3937
758	5255
217	3503
2801	23640
7030	9631
1479	406979
5595	5894
10712	56110
5271	8674
5300	8687
1653	406901
7681	55670
23354	84948
22954	26133
10220	64591
201181	729233
8214	9882
3184	10989
3091	5315
5903	7157
6613	9793
8607	55011
9550	440295
79669	166012
5708	10049
6401	153364
337973	339344
127544	203562
9780	79669
3017	205717
23087	51475
1621	51529
79005	84140
3892	7681
6813	196051
63898	85509
83878	130013
2160	3827
867	3480
7745	54925
2332	81545
54544	375791
9633	56005
22868	51263
53358	84217
1457	5770
1051	4801
3881	80254
1786	9628
23376	55248
25	367
79161	345275
3185	5936
6840	84823
5705	9097
79876	440738
10289	92140
4093	22943
7465	23303
10865	113878
29986	144110
3872	23390
10576	54461
7157	8554
672	140690
2099	81603
54145	115950
51522	57017
4988	51368
11075	284021
5584	10238
51474	286128
9991	140886
11081	23014
11085	28972
9218	114883
6455	192683
10573	51069
5966	63920
10946	406947
4172	4609
23122	284756
60412	149371
1487	162333
57348	94005
2542	2859
5966	55577
5307	64978
10155	388569
6168	56342
5407	200232
396	220988
55033	392399
54708	55284
6860	10492
81543	83756
6130	10412
55281	84807
9605	57594
55758	145773
6421	407007
3543	4653
6923	112950
4802	23506
1981	3881
902	81603
1366	54539
6223	57696
25849	55240
359	1366
5027	23641
7291	256227
5106	9361
1612	11170
23761	80011
2534	10278
27130	57473
7265	7466
6583	85365
3265	3329
3315	10627
1956	9860
9448	127833
2705	27040
1739	2904
4285	29960
5936	57693
23321	83548
9022	253639
57409	84080
6154	10884
996	10935
8565	10289
53371	81565
2253	26155
5795	26232
396	399
4218	4705
10643	406886
7276	8533
9702	79571
4731	54539
3192	729786
351	1119
2760	51527
8638	57547
7124	337972
11339	79165
2688	5709
6386	23627
25776	85360
6637	10450
4236	51170
563	64794
10539	26002
8629	147687
167153	406949
25814	51657
9146	81671
91782	128866
3362	10900
4670	406900
946	2274
80777	90411
9741	64755
2033	4171
2717	57665
4914	6272
360	200232
351	55340
7186	57720
55507	387882
7529	84335
1234	1488
9342	22863
1659	10179
22974	84271
54534	65008
1292	119180
3309	22953
242	57801
55633	120892
24144	440184
682	9657
1453	6622
6647	9973
7132	26133
54853	445571
8995	118813
5605	283455
22908	55591
2733	92999
10190	11340
7316	57646
8419	9321
24144	112869
7086	8878
64115	84912
412	2697
902	4849
83481	140807
2642	8626
10454	84292
667	200081
23636	84708
6218	11103
57822	84080
54708	139341
5567	140735
10791	11221
4000	5578
5707	11345
4214	84617
55128	79165
2650	8000
14	256297
8399	154043
4696	10682
60	55975
489	10905
815	11030
1193	11102
5612	30850
4204	10988
3759	3772
320	9928
6866	51234
3480	128853
6730	339230
6993	200081
11020	57560
6445	51300
203102	253558
988	9681
2274	3185
6348	22879
5305	92922
1874	84960
54474	386683
23412	27074
3507	81609
1499	3551
6322	23074
9110	10569
9427	64146
65062	100507537
1457	6427
8970	196792
55093	118472
3303	7265
3885	84294
6449	79089
2934	27335
2309	10062
9498	23400
3636	8382
9306	54955
1857	388389
55093	83899
7248	8928
5538	51062
917	57228
5922	27125
7337	11009
9933	84365
6635	51639
3115	4223
2534	9479
3316	83746
9463	245913
998	10197
9470	9532
132320	644186
4702	4728
10439	26146
2066	2268
5033	11052
8812	83878
4841	406906
23294	55199
25930	55898
613	84966
6352	9530
3309	56893
7039	84317
26330	54039
56475	402381
23386	55070
2823	51571
27163	100510688
8915	79056
5789	29110
1025	4088
6147	81627
7454	51429
1263	23371
2703	80727
2071	54507
5094	8091
22827	127829
3717	5770
4004	4330
358	10656
84376	339005
2002	5601
7703	8473
8345	85235
1479	9532
9742	119710
974	2064
27340	406996
5789	8500
6526	64805
220	30815
3454	84957
10817	91419
10794	283489
7073	10150
113829	201780
7697	51224
409	157753
6426	84310
6713	79669
5813	6429
3880	338785
9833	51307
2275	8452
2353	5434
4618	10542
9711	127665
64785	84522
4923	54898
817	65003
331	10392
386682	100131997
4799	23636
7013	10212
27120	57521
7874	8030
825	154796
4661	5300
5914	23532
5888	10482
6161	139422
3683	7087
1366	344892
55273	200232
7024	55616
10806	23371
2669	8548
3964	5420
1642	10980
3881	10362
4110	7528
3007	23350
9725	79570
9908	406881
3730	400506
10540	64946
23327	83931
1743	2524
5360	6348
6529	6804
27240	27302
6202	92999
79038	388677
9829	10928
7095	7852
5002	148534
8928	116071
2512	51735
998	6426
1962	23371
351	7428
8881	51361
363	219402
10284	23499
124790	200232
2925	196410
57182	80820
527	6541
4301	7533
10921	285349
79637	80262
5349	11161
288	8301
55787	65983
705	9020
472	27020
189	2342
801	1457
351	1495
3895	10134
55227	162972
6376	54503
7329	23386
79731	84938
8545	9978
6396	8900
7153	81620
4176	8317
1068	127602
7157	347688
23641	90864
2475	83986
3881	10928
84502	116988
23086	29781
466	58504
2801	29978
8631	10849
6160	7738
1386	2353
57474	64753
79155	342574
2201	8076
995	26058
5733	285598
23673	64748
2207	10897
2719	3163
10553	51170
5105	92285
2140	4747
23554	643853
4836	57707
4236	11275
662	6811
2548	23420
6635	151903
81542	81793
3359	10882
637	51340
6660	115572
7545	57511
54845	406886
51067	51069
23426	116986
3065	84159
9040	23276
2844	162427
479	2215
810	55756
488	649458
64881	79649
373	7325
29082	145226
4753	286128
55721	148137
1464	3950
54507	337978
1312	9319
3310	6117
351	5536
598	10488
5494	203562
252884	284312
1029	10522
10049	257236
26260	29924
7571	116225
80206	121457
6299	92609
59349	147372
351	10438
4214	5595
55666	80021
6133	25873
23327	100506658
6737	8878
6386	541466
9293	148534
6510	57515
25904	56413
1244	85358
10262	406947
10008	65244
6273	54149
1277	10469
728	79603
4723	4731
79844	88455
9921	84676
1856	151871
57610	84466
84301	124220
1902	162427
2993	10827
1198	11129
310	7849
7009	80714
23294	340277
220988	406980
26260	50809
4087	6156
10726	56925
2840	9869
4645	6925
8425	10127
4188	11334
7317	7334
10412	29889
1663	222255
7014	8650
1649	6189
5630	9456
55157	56896
2150	84263
2039	23327
84320	90353
9978	25793
1401	5768
2969	50964
9146	9618
11339	84062
1947	8568
2534	57624
8775	60561
2328	10462
1102	5296
64837	163183
23567	406985
23113	54989
9463	9807
1485	26239
5578	57003
157567	200232
6132	84186
990	197131
7546	55577
1950	7448
6598	6604
10602	22879
104	407046
8945	9616
2653	4110
51295	57559
7111	10395
1956	50618
3106	10097
2801	9531
4595	57085
6182	116151
6238	22989
56681	170575
10970	29957
1390	27287
6158	57693
8496	10971
5116	8687
23219	79666
1653	407046
2788	59345
57463	79669
6240	10524
6139	54948
53615	168850
51078	157567
207	8115
3175	8850
54778	151636
5458	254910
23435	114088
1144	7982
3093	10193
2670	10538
958	57221
8545	474343
1993	10450
27185	374618
8399	84970
4854	23243
5689	158809
6158	7323
4242	79831
10454	80279
11143	29911
8878	84675
4893	54978
9854	220929
27158	100128927
51100	51150
64093	285966
93343	284427
57188	386681
5998	54800
22839	84152
7917	55603
6950	64326
1196	51213
1869	80854
55540	89782
23028	79635
287	6880
26046	93377
55106	161742
8895	27044
6657	84456
9547	11258
7314	144423
1831	9819
1385	2932
3399	199777
9070	126789
8548	56124
22920	54715
9637	10589
4193	51533
58	388569
81	4846
7702	114569
23029	57109
4762	10763
23451	574031
3621	7316
3092	79036
54	25792
6786	10908
5567	25793
54927	64396
3064	11021
821	10331
351	7184
4753	5077
373	56478
2342	23074
7905	23111
55763	151050
8751	23636
56623	57521
932	9076
23451	406900
539	79618
51599	80332
7379	337978
1513	6317
5076	55859
8027	9958
55776	92840
673	7743
8744	56104
1876	4149
6139	10199
55295	57037
3607	150160
57532	386677
54544	386677
5597	7755
1915	7276
6141	63893
2358	80097
8449	56849
3326	10420
4488	83896
8924	28988
54915	100130613
258	6386
7629	259173
1795	9188
4239	55737
1039	55758
1654	3575
8712	54555
28977	54948
10308	10794
4089	5670
90655	115106
6625	6638
1616	2719
64388	79654
5705	9648
8440	199720
54971	64802
7415	130617
4253	10484
6606	27037
1366	201799
6910	85403
9462	57706
3460	85027
54926	151636
7039	221955
9510	125115
7104	146225
21	55515
10158	51522
1937	10014
5634	142940
84708	386683
3849	8687
2332	23208
9643	284252
3860	24144
11281	162968
8764	29080
4678	333932
6622	27252
3198	117144
3104	221504
10226	29934
196527	284194
5690	23582
5610	7341
2194	128872
8736	23243
5013	51741
23281	146325
65095	389421
64663	131578
9217	114876
1363	89778
29072	140690
23210	58509
6733	25901
834	58484
4068	51744
6194	54989
2980	23306
5708	10726
2740	54872
6310	7307
2861	6383
4172	9391
2866	64755
57709	90196
3216	10768
64100	347688
6749	253714
4330	8202
10393	25847
6721	6790
2295	347688
1515	7710
6794	23017
7157	8178
5887	7314
10644	406977
5307	22795
24144	84056
10381	10657
55845	119032
51194	153579
11339	404093
7057	92140
64782	79797
3730	23361
25940	406891
55111	114823
1813	54102
7276	84342
8227	63893
11269	23371
5441	11060
2257	151871
7133	9349
1822	9531
114800	642623
5928	8819
8379	9747
30012	337880
2962	5987
65083	406885
112770	388650
9935	10017
81621	94039
3953	192670
1513	147339
64115	219854
9368	83874
2243	4223
2259	9778
551	222546
2950	3187
6732	23092
9246	57484
26019	29970
10975	27288
3326	50809
55127	84630
1499	84162
5939	26024
26993	167465
3164	150000
7748	51776
55093	401541
2064	3313
23291	54756
1993	3608
79727	406904
9146	159989
127665	220929
8576	126375
1727	23484
2145	23582
4610	80314
7373	26232
9334	9528
8601	84648
8290	22992
80762	729230
719	5770
5710	5718
2264	4194
2107	8079
8572	51324
1917	284111
7703	25803
57532	85291
513	29956
9993	64781
8754	57119
4302	9636
5728	10138
2593	79019
5580	10672
7067	7408
1207	339344
9444	10492
11340	91768
819	2358
1809	55172
64641	100423062
6314	6642
1292	338811
3184	22907
153830	100134230
81853	92960
6434	388818
2035	10128
54764	353323
3326	5590
10197	83746
1488	23236
3745	170850
79727	407025
23390	60626
3064	10212
90594	440295
140578	340481
1911	90993
51078	286451
1244	5174
1445	3480
521	150737
84920	387923
30012	284325
2332	81550
6602	27128
409	5315
3921	10481
54765	117154
6122	84294
23324	51661
1993	5976
5997	63904
58	9759
55280	57461
351	64837
22984	407046
2150	91252
8394	84078
57380	84502
4843	5879
84619	337974
118987	148066
4204	54475
27185	80824
128674	220929
353139	391257
80777	161424
3091	4193
5236	26277
6820	442038
5725	407006
5518	10425
7032	83417
23456	79669
997	8945
7529	10921
8106	26093
10286	83719
2115	59272
6286	283638
7726	11224
238	2885
5099	92140
8270	27128
1173	1174
360	51614
8848	55093
5013	83897
51256	55223
7846	94121
6322	81602
3069	7133
8688	51764
4087	63891
7140	11165
10728	81691
27340	407006
7637	337878
9582	406916
8747	337876
64795	84948
358	8061
9457	146325
11230	81853
3009	117166
7781	8879
9236	140880
3881	5300
25776	84451
11162	27283
5126	27185
2041	10592
8289	8648
310	54973
3992	374308
2353	6908
10643	554210
116173	121260
6386	123283
5987	11043
334	1601
7328	51127
3689	51319
7384	130557
5424	6613
23314	285498
6188	79727
55958	60468
1459	57592
3804	57085
1387	6509
114898	254187
1457	64319
10929	51634
137492	287015
64518	120379
3183	3184
832	6840
5047	84966
8648	8856
8454	23142
9349	9450
26156	50809
5567	11142
5987	149371
55954	85437
51762	81876
23582	353323
51564	64599
4040	338811
8467	54108
26160	64792
3316	55729
23555	80131
1233	84336
3910	6613
10489	84301
7468	92999
79727	140890
55748	246176
23621	404552
1122	338382
6590	54557
7186	135892
5822	10238
3198	79024
11000	27094
5412	7276
5347	10600
55720	84078
57109	83740
6879	81631
140258	150483
1026	8900
54784	54957
4741	4747
10902	54799
6720	22937
51473	83900
6430	51121
10615	54785
810	56941
51106	54059
55746	57122
6606	80308
8503	51562
26054	29970
55017	200232
79050	440563
1025	9049
9846	57460
2801	5300
5966	26525
3912	5796
5194	84904
9582	406991
9146	22954
54940	113174
3725	9734
115106	171484
185	57130
1407	9575
55754	161291
60	4904
3320	51447
4440	5939
662	203260
9341	220929
3609	4188
3006	4904
26330	51348
27069	64838
28987	54882
5813	6188
1797	79871
8793	94107
50488	51368
83899	130560
55917	85369
6477	9627
7419	7770
23007	80824
55238	493869
8567	90203
1506	5720
4194	23582
4259	6319
655	10220
57511	93233
3008	51574
7867	8678
10963	79411
8161	80321
3810	100132285
6821	54955
7813	10124
23186	55197
4281	80019
6278	30832
8315	65250
3064	5710
2354	7716
25806	29082
23327	79901
6610	353132
3575	26986
6160	22974
9513	10236
5599	8518
55584	84277
10412	54487
9146	285753
891	9088
7325	165918
29978	200081
9667	122509
6165	22974
5645	7355
81605	342667
10423	148534
10817	100131303
5733	8687
4223	259240
3843	10010
2947	9474
25894	55138
5449	9970
5013	337878
2058	406937
25936	83540
56154	58496
10363	94121
55093	493869
3978	29128
9145	120224
3816	6787
24144	56915
51574	57062
22924	23624
6866	57338
2740	83902
91647	161742
2302	3065
2740	100188893
9188	407026
5987	56204
165918	221037
5321	653361
9862	51003
7205	158297
2099	6464
4007	57669
3315	56311
1893	51593
6890	405754
10492	406947
51087	64794
259	8503
5004	84624
207	4869
8266	10075
6303	6554
90655	283871
4176	8361
9935	55914
9444	84749
9134	23595
4163	64425
30849	55165
65264	222484
9247	55048
3015	10363
5594	170954
11193	26240
6773	55699
57558	340061
1639	84516
6311	7428
51614	201931
7597	161742
2054	23780
55758	192666
2034	23633
5469	6256
5525	5905
1069	157574
79833	85027
3117	55219
3796	114822
10479	116173
59343	80221
1936	23078
1387	5931
7321	51343
26050	654483
7095	90550
11345	342132
10363	115265
83595	286205
11030	23199
8884	10162
373	55107
5728	9349
7182	23607
84285	644943
672	2274
2033	6996
1861	3249
1460	5187
1363	6092
301	79733
54955	55038
9146	80111
29956	133619
6421	406929
5718	91409
6635	6637
7534	8661
10403	93426
6133	126282
3709	151647
8578	9283
1435	84174
4286	9063
8995	56704
8407	29114
8295	8339
6605	375791
26147	26168
6607	58489
4093	64744
25828	29765
3178	406980
11011	23523
92129	134728
5172	55529
83983	730211
11197	375791
207	5894
57120	339210
4056	51522
3249	9375
7069	8774
4055	4957
4853	81856
9643	57649
10154	728378
2019	5090
5516	6790
10253	84126
7329	23204
6733	79693
8548	9111
25	2066
9790	56969
23394	440563
527	252839
6709	29956
23326	127544
310	6137
4715	5930
841	2261
1398	22839
4292	8991
996	9184
23178	150084
11258	55048
2885	727800
2512	28987
55800	91687
351	201163
271	337974
4284	57689
890	1499
10174	11339
6137	64946
55219	79570
51678	54888
54554	123591
80311	116224
11237	140767
81557	388324
5705	5706
23390	79654
5987	6477
22905	57561
24139	51297
4236	9319
9060	80321
84217	113878
7186	64763
29911	64400
3104	54487
10445	53820
23303	51307
85459	441046
1994	3190
7322	7798
5362	27290
2923	55345
5499	11331
8189	407050
5768	7322
81628	89885
140886	494115
2058	407045
1020	22983
3034	8454
8972	339302
2669	159989
6474	23390
320	79937
4005	51361
582	26005
54910	79659
90139	145942
114569	100506164
641	5892
27031	27143
344018	346288
9188	407054
23451	406905
1026	340542
1956	55658
8545	79734
55732	63979
23265	57159
1656	6738
4250	56983
5813	407006
55248	84259
56658	374928
7297	10656
333	8894
2247	7448
26040	54221
7186	29994
10403	115106
1398	10922
92999	339230
2059	10295
824	159195
2056	4121
5058	120892
6427	65082
9716	55702
9240	56288
11284	11339
57556	64184
5439	9412
7533	60313
23032	338917
29763	127002
81557	92129
23390	25870
3886	79577
10723	51092
10318	57698
55839	100528020
4193	8241
27237	84708
4544	9750
3983	7273
6660	8087
2719	154807
3070	3920
857	5455
55787	339005
51649	64968
10463	11326
2124	4815
5335	79890
9189	23028
409	9290
84528	257101
341567	387338
4613	23411
10952	51608
4747	80022
5803	7124
84708	171483
3659	8405
3187	4686
2045	7474
9522	100507436
170384	245938
7276	9637
8091	440686
3606	65061
2706	10682
58985	79877
1618	84292
6317	55633
819	55500
51121	140886
7534	23332
998	84930
55340	90993
191	25913
506	118813
10488	81539
6610	26538
6554	347741
63931	84132
2551	84616
2261	91782
79465	387921
2912	9080
1742	8825
4089	22938
5682	150483
1487	6935
4904	407040
2908	4088
4610	10513
10762	55274
1827	2932
79177	150082
6601	115827
7297	84868
5351	406891
976	57348
3983	7533
25906	29882
8349	10865
51265	115201
10397	23548
187	94097
8697	29948
2060	339745
6879	8805
3575	5935
999	6423
8994	283933
6855	7284
3309	6483
468	57761
6576	79001
351	7259
7133	63897
3064	9470
2963	6157
5594	9025
5690	9491
1949	392307
7784	85377
84914	386678
4188	79716
961	10098
6583	11194
3933	55716
5226	8473
55818	93649
2896	9519
388512	613212
2537	84950
57109	139422
2896	58524
2104	8204
4692	283208
57326	80142
80233	390792
7766	386675
3315	53918
1739	7337
7161	26013
1163	1164
6929	9421
5626	337882
208	79689
3959	25939
9924	55723
187	84303
2984	93974
9482	57156
3494	51224
2870	25793
55201	345757
8476	27185
4193	7334
51560	219931
3329	3881
11117	54550
840	5062
1778	1781
2091	55352
7568	386680
664	2866
3689	5306
1326	6711
400506	406977
7324	27246
11274	27101
353141	728116
1432	23557
3799	10208
6880	23326
6604	6605
3881	5565
9146	9240
369	10469
54927	55930
10632	51100
51493	407045
94005	326342
815	22999
199	342574
5789	56924
258	29978
3726	4089
6138	7555
801	6430
11059	51105
1234	5686
4987	29095
2033	3727
811	79867
7534	9261
5092	9053
10133	158405
59350	117579
4036	50604
7568	64170
2634	2635
8503	440184
6732	51202
1981	9641
7014	158160
1269	54432
30815	51806
3849	9118
1650	29107
4848	55568
222696	342945
8468	51256
8338	55131
2054	23673
706	3754
7153	7157
406	10273
3326	10336
8242	80314
4302	116225
2099	54828
10432	11218
26003	346288
4060	10524
1108	6880
22897	125113
124	125
3684	4000
5518	7189
23543	407047
4669	114882
10865	55697
51035	53339
2919	4223
79140	84675
5339	55567
4904	84319
8073	56776
3192	9651
7321	55299
4681	64600
2738	23560
22976	118881
5430	161835
25873	692312
817	57621
1387	5520
2982	116987
8879	23253
3042	3043
805	55172
10363	150572
79603	222662
9783	10524
3104	135927
2332	10589
64801	440400
738	80824
6285	55267
